Kudos Date,Kudos Type,Parent ID
"Jun 3, 2020, 3:38:59 PM",Activity,3557392195
"Jun 3, 2020, 3:39:06 PM",Activity,3555582161
"Jun 3, 2020, 6:57:44 PM",Activity,3559219327
"Jun 3, 2020, 6:57:48 PM",Activity,3558896713
"Jun 3, 2020, 6:57:51 PM",Activity,3559032824
"Jun 3, 2020, 6:57:55 PM",Activity,3558685330
"Jun 4, 2020, 12:25:30 AM",Activity,3560215160
"Jun 4, 2020, 11:47:24 AM",Activity,3562336696
"Jun 4, 2020, 11:47:31 AM",Activity,3560645598
"Jun 4, 2020, 9:37:59 PM",Activity,3563861464
"Jun 4, 2020, 9:38:01 PM",Activity,3564440590
"Jun 4, 2020, 9:38:34 PM",Activity,3564375735
"Jun 5, 2020, 1:09:19 AM",Activity,3565385461
"Jun 5, 2020, 1:09:20 AM",Activity,3565278606
"Jun 5, 2020, 1:09:24 AM",Activity,3565114250
"Jun 6, 2020, 2:19:01 AM",Activity,3568255261
"Jun 6, 2020, 10:11:55 PM",Activity,3574209993
"Jun 7, 2020, 2:38:43 AM",Activity,3574807458
"Jun 7, 2020, 2:38:46 AM",Activity,3574627888
"Jun 7, 2020, 2:39:02 AM",Activity,3573842897
"Jun 7, 2020, 2:39:06 AM",Activity,3573482445
"Jun 7, 2020, 2:39:10 AM",Activity,3572716025
"Jun 7, 2020, 2:39:40 AM",Activity,3573143409
"Jun 7, 2020, 2:39:51 AM",Activity,3573475291
"Jun 8, 2020, 2:03:12 AM",Activity,3578097712
"Jun 8, 2020, 2:03:36 AM",Activity,3578500977
"Jun 8, 2020, 2:03:59 AM",Activity,3578222701
"Jun 8, 2020, 2:05:05 AM",Activity,3578336238
"Jun 8, 2020, 9:51:48 PM",Activity,3583606342
"Jun 9, 2020, 11:11:12 AM",Activity,3585451179
"Jun 10, 2020, 11:41:37 AM",Activity,3590567149
"Jun 10, 2020, 11:41:50 AM",Activity,3590561848
"Jun 10, 2020, 3:29:04 PM",Activity,3592722278
"Jun 10, 2020, 3:29:06 PM",Activity,3593013223
"Jun 10, 2020, 9:57:41 PM",Activity,3595123309
"Jun 10, 2020, 9:57:53 PM",Activity,3594065022
"Jun 11, 2020, 2:34:22 AM",Activity,3590497952
"Jun 12, 2020, 12:16:56 PM",Activity,3602137906
"Jun 12, 2020, 10:51:56 PM",Activity,3602408772
"Jun 13, 2020, 5:19:59 PM",Activity,3608269462
"Jun 13, 2020, 5:20:02 PM",Activity,3608554043
"Jun 13, 2020, 5:20:05 PM",Activity,3608371403
"Jun 13, 2020, 5:20:13 PM",Activity,3608025342
"Jun 13, 2020, 5:20:40 PM",Activity,3604578698
"Jun 14, 2020, 2:15:59 AM",Activity,3610012612
"Jun 14, 2020, 2:16:18 AM",Activity,3609646282
"Jun 14, 2020, 5:45:41 PM",Activity,3614282291
"Jun 14, 2020, 5:45:45 PM",Activity,3614645179
"Jun 14, 2020, 5:46:11 PM",Activity,3613959004
"Jun 15, 2020, 5:30:09 PM",Activity,3618117496
"Jun 15, 2020, 5:30:12 PM",Activity,3618144577
"Jun 15, 2020, 10:19:31 PM",Activity,3620598301
"Jun 15, 2020, 10:19:37 PM",Activity,3620623964
"Jun 15, 2020, 10:20:06 PM",Activity,3620673425
"Jun 16, 2020, 12:58:39 PM",Activity,3623143461
"Jun 16, 2020, 12:58:43 PM",Activity,3623123550
"Jun 16, 2020, 12:58:47 PM",Activity,3621391935
"Jun 16, 2020, 6:40:04 PM",Activity,3624296880
"Jun 16, 2020, 9:34:07 PM",Activity,3625335210
"Jun 17, 2020, 1:43:45 AM",Activity,3626545794
"Jun 17, 2020, 1:43:53 AM",Activity,3626179684
"Jun 17, 2020, 9:09:50 PM",Activity,3629201554
"Jun 18, 2020, 1:09:09 AM",Activity,3631440038
"Jun 18, 2020, 1:10:31 PM",Activity,3633268802
